Date,Open,Close,High,Low,Volumn
2018-05-28 07:00:00+07:00,27.8,31.32,31.54,26.76,32469630
2018-06-04 07:00:00+07:00,31.81,33.68,34.29,31.48,26878910
2018-06-11 07:00:00+07:00,33.52,33.08,34.19,32.08,33694000
2018-06-18 07:00:00+07:00,32.85,31.5,32.85,28.85,37376840
2018-06-25 07:00:00+07:00,32.31,29.54,32.42,29.19,18942600
2018-07-02 07:00:00+07:00,29.23,28.31,29.85,27.08,25340570
2018-07-09 07:00:00+07:00,28.85,27.38,28.85,25.54,21956740
2018-07-16 07:00:00+07:00,27.77,28.23,29.04,26.92,21528920
2018-07-23 07:00:00+07:00,28.54,28.69,28.92,27.0,36590660
2018-07-30 07:00:00+07:00,28.92,27.92,29.35,27.92,30694070
2018-08-06 07:00:00+07:00,27.96,28.46,28.62,27.38,21739250
2018-08-13 07:00:00+07:00,28.38,29.0,29.92,28.23,32137020
2018-08-20 07:00:00+07:00,29.0,29.5,29.54,28.5,22547820
2018-08-27 07:00:00+07:00,29.69,30.73,31.27,29.62,35941160
2018-09-04 07:00:00+07:00,30.54,30.54,30.69,29.62,19000400
2018-09-10 07:00:00+07:00,30.5,30.38,30.96,30.04,24506250
2018-09-17 07:00:00+07:00,30.23,31.77,31.85,29.85,38392560
2018-09-24 07:00:00+07:00,32.08,32.54,32.58,31.42,29131200
2018-10-01 07:00:00+07:00,32.54,31.88,33.04,31.46,40365890
2018-10-08 07:00:00+07:00,31.69,31.38,32.12,30.23,36780280
2018-10-15 07:00:00+07:00,31.31,31.35,31.73,30.92,21329600
2018-10-22 07:00:00+07:00,31.38,29.92,31.5,29.12,30180630
2018-10-29 07:00:00+07:00,29.73,30.77,30.96,29.69,17222050
2018-11-05 07:00:00+07:00,30.46,28.92,30.88,28.92,15259320
2018-11-12 07:00:00+07:00,28.92,27.08,29.04,26.73,25632420
2018-11-19 07:00:00+07:00,27.31,27.35,28.31,27.04,15979900
2018-11-26 07:00:00+07:00,27.38,25.54,27.85,25.54,19992270
2018-12-03 07:00:00+07:00,26.15,26.65,27.31,26.15,24168130
2018-12-10 07:00:00+07:00,26.54,25.77,26.62,25.23,25304210
2018-12-17 07:00:00+07:00,25.77,23.04,25.77,22.31,34167690
2018-12-24 07:00:00+07:00,23.04,23.81,23.92,22.27,24237230
2019-01-02 07:00:00+07:00,23.77,23.5,24.19,22.08,22729720
2019-01-07 07:00:00+07:00,23.31,22.58,23.35,22.08,11958800
2019-01-14 07:00:00+07:00,22.62,22.46,22.81,22.19,12927160
2019-01-21 07:00:00+07:00,22.54,22.85,23.38,22.46,11368070
2019-01-28 07:00:00+07:00,22.92,21.0,22.96,20.77,24563550
2019-02-11 07:00:00+07:00,21.27,24.31,25.0,21.23,37650420
2019-02-18 07:00:00+07:00,24.69,26.08,26.12,24.35,32436360
2019-02-25 07:00:00+07:00,26.5,26.35,27.35,25.85,35728360
2019-03-04 07:00:00+07:00,26.73,26.12,27.38,25.69,23308840
2019-03-11 07:00:00+07:00,26.31,24.54,26.65,24.5,34834070
2019-03-18 07:00:00+07:00,24.23,24.58,25.08,23.5,30520760
2019-03-25 07:00:00+07:00,23.92,24.77,25.15,23.92,18839120
2019-04-01 07:00:00+07:00,24.65,25.0,25.12,24.54,13844930
2019-04-08 07:00:00+07:00,25.0,24.65,25.12,24.35,9566180
2019-04-16 07:00:00+07:00,24.54,24.31,24.62,24.08,7009650
2019-04-22 07:00:00+07:00,24.12,25.85,26.0,24.12,16226740
2019-05-02 07:00:00+07:00,25.92,26.27,26.46,25.62,7303590
2019-05-06 07:00:00+07:00,25.69,25.27,26.0,25.08,14154420
2019-05-13 07:00:00+07:00,25.35,24.81,25.35,24.38,11038650
2019-05-20 07:00:00+07:00,24.81,24.73,25.69,24.73,13079410
2019-05-27 07:00:00+07:00,24.69,24.69,25.0,24.58,13787130
2019-06-03 07:00:00+07:00,24.65,22.95,24.8,22.35,30785220
2019-06-10 07:00:00+07:00,23.25,22.95,23.4,22.7,18700240
2019-06-17 07:00:00+07:00,22.95,23.7,24.1,22.45,25867550
2019-06-24 07:00:00+07:00,23.8,23.5,24.05,22.45,15960390
2019-07-01 07:00:00+07:00,23.2,22.3,23.3,22.0,23051700
