Date,Open,High,Low,Close,Volumn
2019-01-03 10:10:00+07:00,41.2,41.2,41.2,41.2,8630
2019-01-03 10:15:00+07:00,41.2,41.2,41.2,41.2,5630
2019-01-03 10:20:00+07:00,41.2,41.2,41.2,41.2,5910
2019-01-03 10:25:00+07:00,41.15,41.15,41.15,41.15,4150
2019-01-03 10:30:00+07:00,41.1,41.15,41.1,41.15,13260
2019-01-03 10:35:00+07:00,41.1,41.1,41.0,41.1,13930
2019-01-03 10:40:00+07:00,41.05,41.05,41.05,41.05,6130
2019-01-03 10:45:00+07:00,41.05,41.05,41.0,41.05,17160
2019-01-03 10:50:00+07:00,41.0,41.05,41.0,41.0,63430
2019-01-03 10:55:00+07:00,41.0,41.0,40.9,40.9,6600
2019-01-03 11:00:00+07:00,40.85,40.85,40.8,40.85,30200
2019-01-03 11:05:00+07:00,40.85,40.9,40.85,40.9,14390
2019-01-03 11:10:00+07:00,40.85,40.9,40.85,40.85,2190
2019-01-03 11:15:00+07:00,40.9,40.9,40.9,40.9,990
2019-01-03 11:20:00+07:00,40.85,40.85,40.85,40.85,10110
2019-01-03 11:25:00+07:00,40.85,40.85,40.8,40.8,20840
2019-01-03 13:00:00+07:00,40.85,40.85,40.85,40.85,6190
2019-01-03 13:05:00+07:00,40.85,40.9,40.8,40.8,15710
2019-01-03 13:10:00+07:00,40.8,40.85,40.75,40.8,25370
2019-01-03 13:15:00+07:00,40.75,40.8,40.7,40.75,35590
2019-01-03 13:20:00+07:00,40.75,40.9,40.75,40.8,26060
2019-01-03 13:25:00+07:00,40.85,40.9,40.85,40.9,5650
2019-01-03 13:30:00+07:00,40.85,40.9,40.85,40.85,29780
2019-01-03 13:35:00+07:00,40.85,40.9,40.85,40.85,20780
2019-01-03 13:40:00+07:00,40.9,40.9,40.8,40.8,27270
2019-01-03 13:45:00+07:00,40.85,40.85,40.8,40.85,5420
2019-01-03 13:50:00+07:00,40.85,40.9,40.8,40.8,26460
2019-01-03 13:55:00+07:00,40.8,40.85,40.8,40.85,7130
2019-01-03 14:00:00+07:00,40.85,40.85,40.85,40.85,3370
2019-01-03 14:05:00+07:00,40.9,40.95,40.9,40.95,22440
2019-01-03 14:10:00+07:00,40.95,41.0,40.95,40.95,14980
